,Agency,Mode,TOS,Active,Reporter Type,HQ City,HQ State,UZA,UZA Name,UZA Area SQ Miles,UZA Population,Service Area SQ Miles,Service Area Population,Most Recent Report Year,FY End Month,FY End Year,Passenger Miles FY,Unlinked Passenger Trips FY,Average Trip Length FY,Fares FY,Operating Expenses FY,Average Cost per Trip FY,Average Fares per Trip FY
14,Pierce County Transportation Benefit Area Authority,DR,PT,Active,Full Reporter,Tacoma,WA,14,"Seattle, WA",1010.0,3059393.0,292.0,555578.0,2017.0,12.0,2017.0,1724048.0,224379.0,7.6836,225521.0,11520226.0,51.3427,1.0051
15,Pierce County Transportation Benefit Area Authority,MB,DO,Active,Full Reporter,Tacoma,WA,14,"Seattle, WA",1010.0,3059393.0,292.0,555578.0,2017.0,12.0,2017.0,35368671.0,8543157.0,4.14,8716219.0,68179163.0,7.9806,1.0203
16,Pierce County Transportation Benefit Area Authority,VP,DO,Active,Full Reporter,Tacoma,WA,14,"Seattle, WA",1010.0,3059393.0,292.0,555578.0,2017.0,12.0,2017.0,22680602.0,810383.0,27.9875,3050834.0,4599679.0,5.6759,3.7647
17,Everett Transit,DR,DO,Active,Full Reporter,Everett,WA,14,"Seattle, WA",1010.0,3059393.0,34.0,106736.0,2017.0,12.0,2017.0,652894.0,122427.0,5.3329,103668.0,6670682.0,54.487,0.8468
18,Everett Transit,MB,DO,Active,Full Reporter,Everett,WA,14,"Seattle, WA",1010.0,3059393.0,34.0,106736.0,2017.0,12.0,2017.0,7260667.0,1902840.0,3.8157,1206043.0,15167684.0,7.9711,0.6338
19,Yakima Transit,CB,PT,Active,Full Reporter,Yakima,WA,248,"Yakima, WA",60.0,129534.0,33.0,100715.0,2017.0,12.0,2017.0,933609.0,24231.0,38.5295,235439.0,475578.0,19.6268,9.7164
20,Yakima Transit,DR,PT,Active,Full Reporter,Yakima,WA,248,"Yakima, WA",60.0,129534.0,33.0,100715.0,2017.0,12.0,2017.0,227250.0,75549.0,3.008,122189.0,1181925.0,15.6445,1.6173
21,Yakima Transit,MB,DO,Active,Full Reporter,Yakima,WA,248,"Yakima, WA",60.0,129534.0,33.0,100715.0,2017.0,12.0,2017.0,3952296.0,1031924.0,3.83,828281.0,6179667.0,5.9885,0.8027
22,Yakima Transit,VP,DO,Active,Full Reporter,Yakima,WA,248,"Yakima, WA",60.0,129534.0,33.0,100715.0,2017.0,12.0,2017.0,2317451.0,43216.0,53.6248,131634.0,210583.0,4.8728,3.046
23,Lane Transit District,DR,PT,Active,Full Reporter,Eugene,OR,151,"Eugene, OR",87.0,247421.0,482.0,302200.0,2017.0,6.0,2017.0,1493213.0,183871.0,8.121,271429.0,5879943.0,31.9786,1.4762
