,index,State,Automobiles,Buses,Trucks,Automobiles Per Capita,Motorcicles,Year
138,38,Oklahoma,1528947.0,15538.0,43506,2883719.0,51984.46,1997
139,39,Oregon,1578081.0,12596.0,28742,2890952.0,62025.48,1997
140,40,Pennsylvania  4/,6050365.0,33912.0,60393,8824947.0,182064.5,1997
141,41,Rhode Island  4/,515446.0,1745.0,5576,709680.0,17669.52,1997
142,42,South Carolina,1765458.0,15203.0,24158,2850361.0,39634.47,1997
143,43,South Dakota,377737.0,2699.0,13015,718403.0,24561.51,1997
144,44,Tennessee,2755950.0,17400.0,55302,4534842.0,56009.51,1997
145,45,Texas,7085404.0,77864.0,243194,12923253.0,128814.35,1997
146,46,Utah,850812.0,1223.0,14326,1529509.0,23000.41,1997
147,47,Vermont,290593.0,1916.0,6540,495716.0,18856.49,1997
148,48,Virginia,3630241.0,17477.0,34805,5708991.0,55966.53,1997
149,49,Washington,2690616.0,8476.0,38211,4702152.0,103820.48,1997
150,50,West Virginia,754685.0,3306.0,32212,1354992.0,17016.41,1997
151,51,Wisconsin,2551207.0,12972.0,42100,4232731.0,190012.49,1997
152,52,Wyoming,222311.0,2606.0,11392,553374.0,15207.45,1997
153,2,Alabama,2062734.0,8641.0,26160,3858928.0,44058.47,1998
154,3,Alaska,232170.0,2196.0,8093,545865.0,13692.38,1998
155,4,Arizona,1728185.0,4454.0,18299,2944016.0,53594.37,1998
156,5,Arkansas,928958.0,5995.0,11167,1754215.0,21051.36,1998
157,6,California,16174220.0,45426.0,255530,25600250.0,390418.49,1998
158,7,Colorado,1843385.0,5720.0,25530,3466094.0,97167.46,1998
159,8,Connecticut  4/,1998457.0,9739.0,26043,2700633.0,50309.61,1998
160,9,Delaware,416709.0,2011.0,2759,616492.0,10141.55,1998
161,10,Dist. of Col.,192097.0,2582.0,6450,228716.0,1123.36,1998
162,11,Florida,7437597.0,43077.0,141942,11276389.0,216218.49,1998
163,12,Georgia,4032998.0,17068.0,60345,6893319.0,85262.52,1998
164,13,Hawaii,449731.0,4107.0,6820,703836.0,20155.37,1998
165,14,Idaho,501509.0,3604.0,17899,1118893.0,34398.4,1998
166,15,Illinois,6425276.0,17508.0,16143,9306710.0,204141.53,1998
167,16,Indiana,3273026.0,25905.0,39578,5371653.0,102363.55,1998
