,FuelCode,StationName,Address,City,State_ABRR,Location,ZIP,Latitude,Longitude
9003,CNG,Omnitrans - West Valley Facility,4748 Arrow Hwy,Montclair,CA,CALIFORNIA,91763,34.0925273,-117.701202
9004,ELEC,BRANDYWINE AUST,1250 S Capital of Texas Hwy,Austin,TX,TEXAS,78746,30.280342100000002,-97.8234994
9005,CNG,Arkansas Oklahoma Gas Corp,5030 South S St,Fort Smith,AR,ARKANSAS,72903,35.361616,-94.373159
9006,LPG,AmeriGas,207 Chris Way,Somerset,KY,KENTUCKY,42501,37.031059899999995,-84.61235400000001
9007,ELEC,TruLuck's Seafood Steak & Crab House - Uptown,2401 McKinney,Dallas,TX,TEXAS,75201,32.794609,-96.80279499999999
9008,ELEC,Beck Nissan,252 N Highway 17,Palatka,FL,FLORIDA,32177,29.647385600000003,-81.630337
9009,LPG,U-Haul,410 N Bruns Ln,Springfield,IL,ILLINOIS,62702,39.806781,-89.686396
9010,ELEC,HERITAGE VILL,51 E. Campbell Avenue,Campbell,CA,CALIFORNIA,95008,37.2881649,-121.94902990000001
9011,ELEC,Melloy Nissan,7707 Lomas Blvd,Albuquerque,NM,NEW MEXICO,87110,35.0873366,-106.5619095
9012,ELEC,Fry's Store #64 Gilbert,714 S. Val Vista,Gilbert,AZ,ARIZONA,85296,33.337406,-111.7568659
9013,ELEC,NIPSCO,801 E 86th Ave,Merrillville,IN,INDIANA,46410,41.461418200000004,-87.327034
9014,ELEC,Anaheim City Hall,200 South Anaheim Blvd,Anaheim,CA,CALIFORNIA,92805,33.834742999999996,-117.91234399999999
9015,ELEC,PLUGNEVERYWHERE,5517 Manchaca Rd,Austin,TX,TEXAS,78745,30.216089899999997,-97.7963245
9016,ELEC,Wilkes Nissan,1933 US Highway 421B,Wilkesboro,NC,NORTH CAROLINA,28697,36.1499684,-81.2022185
9017,LPG,U-Haul,5604 S Kings Hwy,Myrtle Beach,SC,SOUTH CAROLINA,29575,33.642064700000006,-78.9496673
9018,ELEC,Southern California Edison - Montebello Service Station,1000 Potrero Grande,Monterey Park,CA,CALIFORNIA,91754,34.044849799999994,-118.1001162
9019,ELEC,IMPARK SF,152 Terry A Francois Blvd,San Francisco,CA,CALIFORNIA,94158,37.7761921,-122.38933610000001
9020,CNG,Snapping Shoals EMC,14750 Brown Bridge Rd,Covington,GA,GEORGIA,30015,33.55379,-84.0108
9021,ELEC,Hampton Inn,15 Park Woodruff Dr,Greenville,SC,SOUTH CAROLINA,29607,34.823060999999996,-82.293064
9022,LPG,Earnheart Oil & Propane,110 E Adams,Covington,OK,OKLAHOMA,73730,36.305,-97.5855
9023,ELEC,MAGNA E CAR,10456 Holly Road,Holly,MI,MICHIGAN,48442,42.8743706,-83.63308719999999
9024,CNG,Love's Travel Stop #452,1601 W Airline Rd,Pauls Valley,OK,OKLAHOMA,73075,34.7046234,-97.2484813
9025,ELEC,Premier Nissan - Metairie,6636 Veterans Memorial Blvd,Metairie,LA,LOUISIANA,70002,30.003546999999998,-90.165986
9026,ELEC,North Bay Nissan,1250 Auto Center Drive,Petaluma,CA,CALIFORNIA,94952,38.267202000000005,-122.66506799999999
9027,ELEC,CARCHARGING,710 N Bell Blvd,Cedar Park,TX,TEXAS,78613,30.518253299999998,-97.8276978
9028,CNG,Questar Fueling - Dallas,4200 Duncanville Rd,Dallas,TX,TEXAS,75236,32.692682,-96.909324
9029,ELEC,Baskin Robbins,3010 Harrison Ave NW,Olympia,WA,WASHINGTON,98502,47.047239000000005,-122.939656
9030,ELEC,NRG eVgo - Mossy Nissan Poway,14100 Poway Rd,Poway,CA,CALIFORNIA,92064,32.956497999999996,-117.026802
9031,ELEC,Hillsboro Civic Center,150 E Main Street,Hillsboro,OR,OREGON,97123,45.521578000000005,-122.988974
9032,CNG,Sparq - Express Fuel Products,5711 W Sam Houston Pkwy N,Houston,TX,TEXAS,77041,29.8507197,-95.5647532
