,Unique ID,FacilityName,Rank_TRI_14,Rank_GHG_14,Latitude,Longitude,LocationAddress,City,Location,ZIP,County,FIPScode,IndustryType,GHG_Direct_Emissions_14_in_metric_tons,GHG_Direct_Emissions_13_in_metric_tons,GHG_Direct_Emissions_12_in_metric_tons,GHG_Direct_Emissions_11_in_metric_tons,GHG_Direct_Emissions_10_in_metric_tons
514,1.10E+11,TESORO REFINING & MARKETING - CARSON REFINERY,209.0,110.0,33.81323,-118.24298,2350 E 223RD ST,CARSON,CALIFORNIA,90810,LOS ANGELES,6037.0,"Chemicals,Refineries,Suppliers of CO2",6294749,4401471,4517905,4431328,4454988
515,1.10E+11,PHILLIPS 66 LOS ANGELES REFINERY WILMINGTON PLANT,499.0,368.0,33.774469,-118.290696,1660 W ANAHEIM ST,WILMINGTON,CALIFORNIA,90744,LOS ANGELES,6037.0,"Chemicals,Refineries,Suppliers of CO2",1905145,2012445,1790791,1903922,1812848
516,1.10E+11,CHEVRON PRODUCTS CO DIV OF CHEVRON USA INC,530.0,209.0,33.908126,-118.41073999999999,324 W EL SEGUNDO BLVD,EL SEGUNDO,CALIFORNIA,902453680,LOS ANGELES,6037.0,"Chemicals,Refineries,Suppliers of CO2",3365979,3234761,3463103,3185158,3498914
517,1.10E+11,EXXONMOBIL OIL CORP - TORRANCE REFINERY,561.0,256.0,33.854966999999995,-118.33690700000001,3700 W 190TH ST,TORRANCE,CALIFORNIA,905092929,LOS ANGELES,6037.0,"Chemicals,Petroleum Product Suppliers,Refineries,Suppliers of CO2",2828342,3035281,3149395,3118849,2952713
518,1.10E+11,"ULTRAMAR INC, WILMINGTON REFINERY",927.0,656.0,33.7783,-118.2351,2402 E ANAHEIM ST,WILMINGTON,CALIFORNIA,90744,LOS ANGELES,6037.0,"Petroleum Product Suppliers,Refineries",934877,940217,906630,1043228,1046118
519,1.10E+11,PHILLIPS 66 LOS ANGELES REFINERY CARSON PLANT,1926.0,686.0,33.8048,-118.2431,1520 E SEPULVEDA,CARSON,CALIFORNIA,90745,LOS ANGELES,6037.0,"Chemicals,Petroleum Product Suppliers,Refineries,Suppliers of CO2",876733,834468,752337,763155,836189
520,1.10E+11,AIR PRODUCTS & CHEMICALS INCORPORATED,1966.0,828.0,33.812778,-118.231389,23300 S ALAMEDA ST,CARSON,CALIFORNIA,90810,LOS ANGELES,6037.0,Chemicals,682241,719695,703550,616051,620798
521,1.10E+11,SOLVAY USA INC,2936.0,5380.0,33.843333,-118.232844,20720 S WILMINGTON AVE,CARSON,CALIFORNIA,90746,LOS ANGELES,6037.0,Chemicals,29740,32087,36626,32029,39430
522,1.10E+11,AIR PRODUCTS AND CHEMICALS INCORPORATED,4214.0,758.0,33.780833,-118.241111,700 HENRY FORD AVENUE,WILMINGTON,CALIFORNIA,90744,LOS ANGELES,6037.0,Chemicals,769301,607536,603018,678032,677727
523,1.10E+11,"ANHEUSER-BUSCH, LLC",5134.0,4807.0,34.22132,-118.48043999999999,15800 ROSCOE BLVD,VAN NUYS,CALIFORNIA,914061379,LOS ANGELES,6037.0,"Other,Suppliers of CO2",36976,41668,46838,43167,44154
524,1.10E+11,PARAMOUNT PETROLEUM REFINERY,5511.0,5941.0,33.900110999999995,-118.15141499999999,14700 DOWNEY AVE,PARAMOUNT,CALIFORNIA,907234018,LOS ANGELES,6037.0,Refineries,24423,32581,125962,142095,186980
525,1.10E+11,MILLER COORS LLC-IRWINDALE,5701.0,5597.0,34.121590000000005,-117.93825,15801 E FIRST ST,IRWINDALE,CALIFORNIA,917062069,LOS ANGELES,6037.0,"Other,Waste",27664,28285,35704,37549,38071
526,1.10E+11,VALERO WILMINGTON ASPHALT PLANT,7568.0,6553.0,33.79699,-118.23971,1651 ALAMEDA ST,WILMINGTON,CALIFORNIA,90744,LOS ANGELES,6037.0,"Petroleum Product Suppliers,Refineries",12293,12187,11648,10352,11230
527,1.10E+11,LUNDAY-THAGARD CO,7601.0,4723.0,33.946295,-118.16703999999999,9301 GARFIELD AVE,SOUTH GATE,CALIFORNIA,902801519,LOS ANGELES,6037.0,"Petroleum Product Suppliers,Refineries",38111,36388,34822,33420,40346
528,1.10E+11,LOCKHEED MARTIN AERONAUTICS COMPANY,8169.0,6354.0,34.60263,-118.11648500000001,1011 LOCKHEED WAY,PALMDALE,CALIFORNIA,93599,LOS ANGELES,6037.0,Other,16835,19794,20141,22800,26101
529,1.10E+11,EXIDE TECHNOLOGIES,9238.0,6852.0,34.00591,-118.19431999999999,2700 S INDIANA ST,LOS ANGELES,CALIFORNIA,90058,LOS ANGELES,6037.0,Metals,5079,43770,27689,20512,26613
